Fa,Fs,beta,dim,isDynamic,isFock,mass2,massratio,order,partition,rs,spin,Σw,Σw.err,μ,μ.err
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,121,1.0,2,0.0,8.148023487204334e-11,0.0002669076991651777,2.5066561790458436e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,400,1.0,2,1.8298314792943013,0.0014434830302935014,0.15317190829036337,0.0016129661181684188
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,102,1.0,2,0.0,8.148023487204334e-11,0.06829664727101453,2.783294774931405e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,110,1.0,2,0.0,8.148023487204334e-11,0.28374062628922664,9.831082603490253e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,200,1.0,2,0.20762906277307436,6.673435464263189e-5,0.3303784820461923,0.00025192877441864575
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,112,1.0,2,0.0,8.148023487204334e-11,0.04123423378991449,1.547998446116752e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,202,1.0,2,0.24751247944550708,7.880964889771589e-5,0.09371997152397543,9.524425238154742e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,210,1.0,2,0.033851566006996806,0.00010330333013713486,-0.007509144055500871,0.00023948283929838053
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,101,1.0,2,0.0,8.148023487204334e-11,0.17124591777126383,6.712589882548795e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,300,1.0,2,-0.5727965275777955,0.00024378179472327736,-0.0401694987805612,0.00034579700915714575
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,120,1.0,2,0.0,8.148023487204334e-11,0.005590288583564292,8.579501786308195e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,201,1.0,2,0.23980229431696512,7.562922234397311e-5,0.16029632988391257,0.00012843906987024622
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,310,1.0,2,-0.23857784060386375,0.0007932300947303841,0.09644505384173699,0.0011717731839057486
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,111,1.0,2,0.0,8.148023487204334e-11,0.08010930503603694,2.8437556201073092e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,103,1.0,2,0.0,8.148023487204334e-11,0.03738351097283233,1.5934065066605407e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,130,1.0,2,0.0,8.148023487204334e-11,-0.004095937966694904,0.00021773699853950285
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,211,1.0,2,0.03565397033913142,0.00012504175666395873,-0.07929877473274011,0.00017364954442016163
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,220,1.0,2,-0.03872052279710796,0.0002971912671197347,-0.03123285431487502,0.0007186118719781566
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,301,1.0,2,-1.2494074679860985,0.0004998263817934648,-0.11844236421877924,0.0004282974918102611
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,100,1.0,2,0.0,8.148023487204334e-11,0.739804174716243,0.00029174697343698207
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,121,1.0,2,0.0,8.148023487204334e-11,0.0002625447128761894,2.413513982747331e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,400,1.0,2,0.49107047094757167,0.0005345266229431332,0.054410039289766454,0.0008125209134398728
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,102,1.0,2,0.0,8.148023487204334e-11,0.07833292298128491,3.08075058886963e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,110,1.0,2,0.0,8.148023487204334e-11,0.2513748631184051,8.491433478033939e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,200,1.0,2,0.12867077065473587,4.1923695529632374e-5,0.2672835263834425,0.00019460869284563715
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,112,1.0,2,0.0,8.148023487204334e-11,0.04125125683739331,1.5008256173896892e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,202,1.0,2,0.16256710525794713,5.201359402289604e-5,0.09102813179104746,8.06320776564541e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,210,1.0,2,0.02171085483342565,6.412341763882105e-5,0.015466715486696812,0.00017589098790959254
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,101,1.0,2,0.0,8.148023487204334e-11,0.18389543027700778,6.925885515462866e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,300,1.0,2,-0.23282602791251028,0.00011224061858814898,-0.0059936024551319874,0.000210015573276569
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,120,1.0,2,0.0,8.148023487204334e-11,0.0051983431159533895,7.506866716403926e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,201,1.0,2,0.15458890909678952,4.891123391661035e-5,0.14776031637181103,0.00010714399539739494
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,310,1.0,2,-0.10066806872755714,0.00039034785239729043,0.030927689668647833,0.0007156251170085988
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,111,1.0,2,0.0,8.148023487204334e-11,0.07889303158696609,2.7267091576026417e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,103,1.0,2,0.0,8.148023487204334e-11,0.04387926016847058,1.8199461428931197e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,130,1.0,2,0.0,8.148023487204334e-11,-0.0028410731103240138,0.00019009878856690823
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,211,1.0,2,0.023742472602885294,8.052891523315177e-5,-0.039397528836531207,0.00013330766479093006
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,220,1.0,2,-0.01794844459322722,0.00018280213722995028,-0.0192942381853264,0.0005367430280886537
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,301,1.0,2,-0.5261839772000654,0.00022979756738105,-0.05476074266153049,0.0002587572506544177
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,100,1.0,2,0.0,8.148023487204334e-11,0.6674731171745214,0.00025426914011281203
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,121,1.0,2,0.0,8.148023487204334e-11,0.00039302203959859185,2.3358575815463764e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,400,1.0,2,0.18758919570295468,0.0002674869948652773,0.025367247524810527,0.0004962414367660941
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,102,1.0,2,0.0,8.148023487204334e-11,0.0854561636173247,3.24325530483717e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,110,1.0,2,0.0,8.148023487204334e-11,0.2288910833397648,7.566930338100857e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,200,1.0,2,0.09071022465795013,2.9426707345070706e-5,0.2265466236705393,0.0001615855015704869
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,112,1.0,2,0.0,8.148023487204334e-11,0.041252993227570464,1.4421446385575245e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,202,1.0,2,0.11957070578117153,3.78000227247166e-5,0.08814023267121676,7.153841064109948e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,210,1.0,2,0.015854262842835313,4.534379527881655e-5,0.023998234840445262,0.00014227791457042935
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,101,1.0,2,0.0,8.148023487204334e-11,0.19067561802366856,7.067307824946446e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,300,1.0,2,-0.12048860385294134,6.373509125317257e-5,0.005509655254196704,0.00014979654854465742
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,120,1.0,2,0.0,8.148023487204334e-11,0.005332611305784672,6.784512979556747e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,201,1.0,2,0.11194775303343932,3.522801018742517e-5,0.13710183667156556,9.309740541258671e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,310,1.0,2,-0.05397181615208335,0.00023401815351599788,0.012470175532887689,0.0005050934312929459
